sku(必填),平台SKU,识别码,中文名称,英文名称,分类ID,图片URL,商品净重（g）,采购参考价（RMB）,采购员,长(cm),宽(cm),高(cm),来源url（超始值为：http://）,备注,英文报关,中文报关,申报重量（g）,申报金额（USD）,危险运输品,材质,用途,海关编码,开发员,销售方式,创建时间
C6S1TKYL001,C6S1TKYL001,,六类非屏蔽通孔黄色水晶头 一排1.08mm 单个装 型号：C6S1TKYL001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473238521/0/20260429101545/002f1a40be9b18948c453d1faaf221b7.jpg,0,0.075,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:49:43
C6S1TKBK001,C6S1TKBK001,,六类非屏蔽通孔黑色水晶头 一排1.08mm 单个装 型号：C6S1TBKD001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473237887/0/20260429101610/49001cf384de29484cdfd58956d6e7c4.jpg,0,0.075,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:49:26
C6S1TKRD001,C6S1TKRD001,,六类非屏蔽通孔红色水晶头 一排1.08mm 单个装 型号：C6S1TKRD001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473237709/0/20260429101632/b2daa9fce65c9122cfbaf8c069c3fa5f.jpg,0,0.075,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:49:01
C6S1TKBU001,C6S1TKBU001,,六类非屏蔽通孔蓝色水晶头 一排1.08mm 单个装 型号：C6S1TKBU001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473237397/0/20260429101644/d79f4272e2492834bd073511c8474465.jpg,0,0.075,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:48:31
C7SP2TK001,C7SP2TK001,,七类屏蔽通孔水晶头铁壳 两排1.45mm 单个装 型号：C7SP2TK001,,1128549,,0,0.3,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 11:27:41
C6SP1TK001,C6SP1TK001,,六类屏蔽通孔水晶头 一排1.08mm 单个装 型号：C6SP1TK001,,1128549,,0,0.143,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 11:20:55
C6S1TK001,C6S1TK001,,六类非屏蔽通孔水晶头 一排1.08mm 单个装 型号：C6S1TK001,,1128549,,0,0.067,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 11:19:53
6933910410567,6933910410567,,佳翼 斑马110-藏线版,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744463082387/0/20260406180830/b238ecc0d6b6900ded57b3be1c75b1f2.jpg,0,75.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-06 18:08:30
PCIE501890B20BK,PCIE501890B20BK,,PCIe 5.0显卡延长线，180-90带底座，20CM黑色,,1128549,,200,0.0,无,0,0,0,,,PCIE extension cable,PCIE延长线,200,10,0,,,,JEYI2022,售卖品,2026-04-03 16:17:31
6933910423918,6933910423918,,RAGEER 雷电5数据线C To C 3.0米 黑色 尼龙编织款 型号：RTB5XB30,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744460386905/0/20260403152622/3a42ec99f6c63646dbdb9c82058ae0b1.jpg,0,26.0,无,0,0,0,,,USB Cable,数据线,1,4,0,,,8544421100,JYcangku001,售卖品,2026-04-03 15:23:57
6933910423901,6933910423901,,RAGEER 雷电5数据线C To C 2.0米 黑色 尼龙编织款 型号：RTB5XB20,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744460386899/0/20260403152622/5aa048ce47cd42d43e6545417b8cb556.jpg,0,20.0,无,0,0,0,,,USB Cable,数据线,1,3,0,,,8544421100,JYcangku001,售卖品,2026-04-03 15:23:57
6933910423895,6933910423895,,RAGEER 雷电5数据线C To C 1.5米 黑色 尼龙编织款 型号：RTB5XB15,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744460386891/0/20260403152622/1f2b117e24edfe52b79b99c6f1bdba49.jpg,0,16.0,无,0,0,0,,,USB Cable,数据线,1,2,0,,,8544421100,JYcangku001,售卖品,2026-04-03 15:23:57
6933910423888,6933910423888,,RAGEER 雷电5数据线C To C 1.0米 黑色 尼龙编织款 型号：RTB5XB10,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744460386885/0/20260403152729/6ae5651da6a610a5187c738d275f2d70.jpg,0,12.0,无,0,0,0,,,USB Cable,数据线,1,1,0,,,8544421100,JYcangku001,售卖品,2026-04-03 15:23:57
6933910423871,6933910423871,,RAGEER 雷电5数据线C To C 0.5米 黑色 尼龙编织款 型号：RTB5XB05,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744460225495/0/20260403152701/25f19df513bc06378e99f6a11c1d112d.jpg,0,9.5,无,0,0,0,,,USB Cable,数据线,1,1,0,,,8544421100,JEYI2022,售卖品,2026-04-03 14:01:16
6933910423864,6933910423864,,佳翼 雷电5数据线C To C 3.0米 黑色 尼龙编织款 型号：LDNL5-300,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744460224697/0/20260403140016/87741ae15dec371594614337ce5dc243.jpg,0,26.0,无,0,0,0,,,USB Cable,数据线,0.1,1,0,,,8544421100,JEYI2022,售卖品,2026-04-03 14:00:16
50 1818 50,50 1818 50,,PCIE5.0 X16显卡延长线(180度 1818) 50CM 黑色 型号: PCIE50X161818BK50,,1128549,,297,165.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-03-25 17:55:52
DZ ZX51818,DZ ZX51818,,PCIe 5.0 X16增高卡 180° (1818 )【测试保护主板】,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744445787803/0/20260320105728/94a0830b5f5c9641f3acae5bea352e18.jpg,0,45.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-03-20 10:57:27
6933910423857,6933910423857,,PCI扩展散热风扇 带温控 黑色 型号：RPF01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744444950419/0/20260328101234/0593f328d187c6546fc87f87fca3c53d.jpg,232,13.0,无,0,0,0,,,Chassis Fans,机箱风扇,1,1,0,,,8414599099,,售卖品,2026-03-19 16:04:07
HJJY-LD4P+USCT,HJJY-LD4P+USCT,,雷电4盘+美规插头 拣货专用,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433046853/0/20260309171322/39f7f63181a824b95bbc3b56934cdfd7.jpg,0,0.0,无,0,0,0,,,,,0,0,0,,,,,售卖品,2026-03-09 17:13:00
HJJY-LD4P+EUCT,HJJY-LD4P+EUCT,,雷电4盘+欧规插头 拣货专用,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433046045/0/20260309171129/c136e1331eb3ef0dda4e7268c5480967.jpg,0,0.0,无,0,0,0,,,,,0,0,0,,,,,售卖品,2026-03-09 17:11:29
6933910423758,6933910423758,,佳翼 积木款风扇 棱镜4Max  正叶黑色 型号：JM01ZBK,,1128549,,192.6,16.0,无,21,18,4,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423765,6933910423765,,佳翼 积木款风扇 棱镜4Max  正叶白色 型号：JM01ZWT,,1128549,,185,16.5,无,0,0,0,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423772,6933910423772,,佳翼 积木款风扇 棱镜4Max  反叶黑色 型号：JM01FBK,,1128549,,192.6,16.0,无,18,14.5,4,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423789,6933910423789,,佳翼 积木款风扇 棱镜4Max  反叶白色 型号：JM01FWT,,1128549,,185,16.5,无,0,0,0,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423796,6933910423796,,佳翼 积木款风扇 插针式模组电源线 黑色 型号：JM01DYXBK,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433043465/0/20260331143559/aaca0649161e9a1046d206c7de218a6c.jpg,39.2,4.5,无,20,7,4,,,Chassis Fans,机箱风扇,1,1,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423802,6933910423802,,佳翼 积木款风扇 插针式模组电源线 白色 型号：JM01DYXWT,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433043459/0/20260331143548/a5a3e8757a9c39155e69aa1c3aeeab8b.jpg,38.4,4.5,无,20,7,4,,,Chassis Fans,机箱风扇,1,1,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423819,6933910423819,,佳翼 ARGB风扇 雲镜-01  正叶黑色 型号：JF01ZBK,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433043453/0/20260327105828/5db0beec9c140f10812148bd66c9b9d1.jpg,213.6,13.5,无,17.5,16,4,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423826,6933910423826,,佳翼 ARGB风扇 雲镜-01  正叶白色 型号：JF01ZWT,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433043447/0/20260327105816/672ce2551223f0be8d36db3ae93c07a0.jpg,223.5,13.5,无,17.5,15,4,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423833,6933910423833,,佳翼 ARGB风扇 雲镜-01  反叶黑色 型号：JF01FBK,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433043441/0/20260327105746/92c9116742947f2d898eb1f6e20db395.jpg,207.4,13.5,无,17.5,15,4,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423840,6933910423840,,佳翼 ARGB风扇 雲镜-01 反叶白色 型号：JF01FWT,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744433043433/0/20260327105735/03dd51b830da3efad63f0d4dc216792b.jpg,204.4,13.5,无,17.5,15,4,,,Chassis Fans,机箱风扇,1,2,0,,,8414599099,JYcangku001,售卖品,2026-03-09 17:04:17
6933910423741,6933910423741,,适合单卡位 X1 X4转接卡竖装支架 黑色 型号：RZJ01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744432794589/0/20260309134831/b387ecddfb1922bb091b59347e652f13.jpg,108,12.5,无,19,14,3,,,adapter brace,转接卡支架,1,1,0,,,8473309000,JEYI2022,售卖品,2026-03-09 13:47:59
HJ1410+PDEU30W+PD30WUSB,HJ1410+PDEU30W+PD30WUSB,,飓风-JF2464X4+欧规 PD快充套装 拣货专用,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744432633105/0/20260309112805/332339b1075e765d0650a3935f248a8f.jpg,0,0.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-03-09 10:41:52
HJ1410+PDUS30W+PD30WUSB,HJ1410+PDUS30W+PD30WUSB,,飓风-JF2464X4+美规 PD快充套装 拣货专用,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744432632337/0/20260309112756/291aa22fb0a8f4e731e1c58c79116473.jpg,0,0.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-03-09 10:41:17
HJ2066+PDEU30W,HJ2066+PDEU30W,,双盘586R-温控版 + 欧规 PD快充套装 拣货专用,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744432625343/0/20260309112747/648562e9633df6cd6822ccd135f61941.jpg,0,0.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-03-09 10:33:55
HJ2066+PDUS30W,HJ2066+PDUS30W,,双盘586R-温控版 + 美规 PD快充套装 拣货专用,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744432598635/0/20260309112737/6b3c283933889f5eeb2151531d12292f.jpg,0,0.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-03-09 10:11:43
6933910412134,6933910412134,,EDSFF E3.S 转PCI-E X4 转接卡 型号：P677,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744428350339/0/20260306162802/76702a64257c3160801407c5835d9197.jpg,113.8,65.0,无,19.5,19.5,3.5,,,E3 adapter,E3 转接卡,115,2,0,,,8471800000,JEYI2022,售卖品,2026-03-04 09:33:35
6933910423734,6933910423734,,PCIe 5.0 X16增高卡 180°（ 1818 ） 型号：RALift5.0 工程款,,1128549,,60,65.0,无,18,16,6,,,,,0,0,0,,,,JEYI2022,售卖品,2026-03-04 08:54:34
6933910412141,6933910412141,,Macbook AirPro SSD 硬盘转接头 型号：P736,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744425426565/0/20260306163035/04e3beb07623b62e5257129f0c14c2a4.jpg,6.6,4.5,无,13.3,11,0.3,,,SSD converter,硬盘转接头,6.6,1,0,,,8471800000,仓库002,售卖品,2026-03-02 09:26:24
YCXDZ2,YCXDZ2,,延长线包装定制 270*150*40,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744403209917/0/20260129094349/69cb4af8f0afce7855e44473f5ef0815.jpg,0,1.2,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-01-29 09:42:01
YCXDZ1,YCXDZ1,,延长线包装定制 190*100*30,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744403209455/0/20260129094129/921a9c2b35434ba59c8e148f65502201.jpg,0,0.81,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-01-29 09:41:29
D586RYL,D586RYL,,六类网线钳 黄黑款 型号：D586RYL,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744403159219/0/20260129092143/f5d62cd616e2b315e5646b6e926bb2a8.jpg,342,12.5,无,27,12,3,,,RJ45 crimper,网线钳,342,3,0,#N/A,,8203200090,,售卖品,2026-01-29 09:21:43
6933910411953,6933910411953,,佳翼 PCI-E X1转NVME扩展散热卡 型号: JY-5.0海星2号-X1版,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744403114421/0/20260312161546/490c6e437861de69af7a6ed036857d09.jpg,126.2,14.4,无,20,16,4,,,PCIE adapter,PCIE接口转接卡,121,1,0,,,8471800000,JEYI2022,售卖品,2026-01-29 09:14:55
6933910411946,6933910411946,,佳翼 PCI-E X4转NVME扩展散热卡 型号: JY-5.0海星2号-X4版,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744403106623/0/20260312161557/dbe6e6f180e3062bfb15da804d7c8a06.jpg,126.6,14.8,无,19,16,4.5,,,PCIE adapter,PCIE接口转接卡,118,1,0,,,8471800000,JEYI2022,售卖品,2026-01-29 09:14:01
6933910411939,6933910411939,,佳翼 PCIE转NVME扩展散热卡 型号: JY-5.0海星1号,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744403105487/0/20260312161615/a0fbf2ee756cee165bcfd2a4a8ac17d3.jpg,107.96,13.2,无,19,16,5,,,PCIE adapter,PCIE接口转接卡,94,1,0,,,8471800000,JEYI2022,售卖品,2026-01-29 09:13:05
6933910423659,6933910423659,,PCIE4.0 X1显卡延长线 180度公对公/金手指转金手指 20CM 黑色 双线版本 型号: PCIE40X1G1818BK20,,1128549,,0,29.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
6933910423666,6933910423666,,PCIE4.0 X1显卡延长线 180度公对公/金手指转金手指 30CM 黑色 双线版本 型号: PCIE40X1G1818BK30,,1128549,,0,33.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
6933910423673,6933910423673,,PCIE4.0 X4显卡延长线 180度公对公/金手指转金手指 20CM 黑色 型号: PCIE40X4G1818BK20,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744402703813/0/20260226085843/fa250d26160da96a011891f537cea10a.jpg,0,25.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
6933910423680,6933910423680,,PCIE4.0 X4显卡延长线 180度公对公/金手指转金手指 30CM 黑色 型号: PCIE40X4G1818BK30,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744402703805/0/20260226085854/16ac1ccc5c286e6b456c77e3a2ad87f4.jpg,0,28.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
6933910423697,6933910423697,,PCIE4.0 X16显卡延长线 180度公对公/金手指转金手指 20CM 黑色 型号: PCIE40X16G1818BK20,,1128549,,0,48.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
6933910423703,6933910423703,,PCIE4.0 X16显卡延长线 180度公对公/金手指转金手指 30CM 黑色 型号: PCIE40X16G1818BK30,,1128549,,0,52.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
6933910423710,6933910423710,,PCIE5.0 X16显卡延长线 180度公对公/金手指转金手指 20CM 黑色 型号: PCIE50X16G1818BK20,,1128549,,0,98.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
6933910423727,6933910423727,,PCIE5.0 X16显卡延长线 180度公对公/金手指转金手指 30CM 黑色 型号: PCIE50X16G1818BK30,,1128549,,0,135.0,无,0,0,0,,,,,0,0,0,,,,JYcangku001,售卖品,2026-01-28 16:10:47
30 X1 9090 12CM H,30 X1 9090 12CM H,,PCIE3.0 X1显卡延长线(90度 9090) 12CM 黑色 定制,,1128549,,0,8.0,无,0,0,0,,,,,0,0,0,,,,,售卖品,2026-01-28 13:56:07
50 16 1818F 13DZ,50 16 1818F 13DZ,,PCIE5.0 X16显卡延长线(180度 1818双反) 13CM 黑色 定制,,1128549,,0,98.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-01-27 21:54:02
50 X16 9090 MU,50 X16 9090 MU,,PCIE5.0 X16显卡延长线(90度 9090) 30CM 白色 母对母 定制,,1128549,,0,210.0,无,0,0,0,,,,,0,0,0,,,,,售卖品,2026-01-26 10:24:45
6933910412059,6933910412059,,TYPE-C转TYPE-C 80G扁线6CM铝套装 型号: F60Pro-Cover,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744398517901/0/20260310175108/c292c2bb1ce6df68ff0b40a8ac0fa61b.jpg,19.4,18.0,无,15,9,2,,,USB Cable,数据线,25,2,0,,,8544421100,,售卖品,2026-01-26 08:53:12
5.0 X16 1890 120cm B,5.0 X16 1890 120cm B,,PCIE5.0 X16显卡延长线(180度 1890) 120CM 白色 定制,,1128549,,0,400.0,无,0,0,0,,,,,0,0,0,,,,,售卖品,2026-01-23 14:19:31
6933910423642,6933910423642,,单杠双卡 显卡支架 黑色 型号: ALU185H,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744397207181/0/20260227083649/ef0c89b4202a2b902413bd05557194fe.jpg,108.5,8.3,无,25.5,10,3,,,GPU brace,显卡支架,1,1,0,,,8473309000,,售卖品,2026-01-23 13:43:36
6933910423635,6933910423635,,单杠双卡 显卡支架 银色 型号: ALU185Y,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744397206737/0/20260227083701/beb555d489c731960e69b2b579338055.jpg,108.5,8.3,无,25.5,10,3,,,GPU brace,显卡支架,1,1,0,,,8473309000,,售卖品,2026-01-23 13:42:35
6933910412028,6933910412028,,佳翼 M.2NVME 四盘 RAID卡4.0 型号：X4X4-Pro,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744396430063/0/20260228092017/dfd9f2aa75d25205721c4ff0a5363545.jpg,679.4,850.0,无,28,24,4,,,PCIE adapter,PCIE 转接卡,260,18,0,,,8471800000,,售卖品,2026-01-22 13:40:08
