SKU,平台SKU,识别码,中文名称,英文名称,分类ID,组合SKU主图URL,包含的商品SKU,数量,长(cm),宽(cm),高(cm),来源url（超始值为：http://）,备注,英文报关名,中文报关名,申报重量(g),申报金额(USD),危险运输品,材质,用途,海关编码,销售方式,创建时间
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,HT65PCBK001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,HT65PCBU001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,C6S1TKBU001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,C6S1TKRD001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,C6S1TKBK001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,C6S1TKYL001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,C6S1TKGN001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,HT65PCYL001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,HT65PCGN001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,HT65PCRD001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,HT65PCBK001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT50,5SHUSJT50,,六类非屏蔽通孔5色混合水晶头50个装+ PC6.5mm5色混合保护套50个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490657257/0/20260505171808/4ba2578208ce6e46af57c262923de902.jpg,HT65PCBU001,10,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:18:08
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,C6S1TKBU001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,C6S1TKRD001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,C6S1TKBK001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,C6S1TKYL001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,C6S1TKGN001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,HT65PCYL001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,HT65PCGN001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,HT65PCRD001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,HT65PCBK001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
5SHUSJT100,5SHUSJT100,,六类非屏蔽通孔5色混合水晶头100个装+ PC6.5mm5色混合保护套100个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490634639/0/20260505165908/3b7434bab444a809180faa7e4287922b.jpg,HT65PCBU001,20,19,17,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:48:06
C6S1TKYL050+HT65PCYL050,C6S1TKYL050+HT65PCYL050,,六类非屏蔽通孔黄色水晶头 50个装+50个装黄色6.5mm PC水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490625629/0/20260505163334/8e8352cde5bb2e98d05bf60ac14a5b04.jpg,C6S1TKYL001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:33:34
C6S1TKYL050+HT65PCYL050,C6S1TKYL050+HT65PCYL050,,六类非屏蔽通孔黄色水晶头 50个装+50个装黄色6.5mm PC水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490625629/0/20260505163334/8e8352cde5bb2e98d05bf60ac14a5b04.jpg,HT65PCYL001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:33:34
C6S1TKGN050+HT65PCGN050,C6S1TKGN050+HT65PCGN050,,六类非屏蔽通孔绿色水晶头 50个装 + 50个绿色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490624189/0/20260505163034/9e4b2a27d9c6af574742f7cca8de1e8d.jpg,C6S1TKGN001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:30:34
C6S1TKGN050+HT65PCGN050,C6S1TKGN050+HT65PCGN050,,六类非屏蔽通孔绿色水晶头 50个装 + 50个绿色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490624189/0/20260505163034/9e4b2a27d9c6af574742f7cca8de1e8d.jpg,HT65PCGN001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:30:34
C6S1TKRD050+HT65PCRD050,C6S1TKRD050+HT65PCRD050,,六类非屏蔽通孔红色水晶头 50个装 + 50个红色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490622627/0/20260505162823/fa5c0e641b8076ddd384bb460b19c94c.jpg,C6S1TKRD001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:28:23
C6S1TKRD050+HT65PCRD050,C6S1TKRD050+HT65PCRD050,,六类非屏蔽通孔红色水晶头 50个装 + 50个红色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490622627/0/20260505162823/fa5c0e641b8076ddd384bb460b19c94c.jpg,HT65PCRD001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:28:23
C6S1TKBK050+HT65PCBK050,C6S1TKBK050+HT65PCBK050,,六类非屏蔽通孔黑色水晶头 50个装 + 50个黑色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490619789/0/20260505162612/5edb9afd587867b29ddf51cbf21202a5.jpg,C6S1TKBK001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:26:11
C6S1TKBK050+HT65PCBK050,C6S1TKBK050+HT65PCBK050,,六类非屏蔽通孔黑色水晶头 50个装 + 50个黑色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490619789/0/20260505162612/5edb9afd587867b29ddf51cbf21202a5.jpg,HT65PCBK001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:26:11
C6S1TKBU050+HT65PCBU050,C6S1TKBU050+HT65PCBU050,,六类非屏蔽通孔蓝色水晶头 50个装 + 50个蓝色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490617557/0/20260505162500/2a1daaeed6ce81a1e8cf0eaabbe8f32e.jpg,C6S1TKBU001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:25:00
C6S1TKBU050+HT65PCBU050,C6S1TKBU050+HT65PCBU050,,六类非屏蔽通孔蓝色水晶头 50个装 + 50个蓝色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490617557/0/20260505162500/2a1daaeed6ce81a1e8cf0eaabbe8f32e.jpg,HT65PCBU001,50,19,12.5,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:25:00
C6S1TKBK010+HT65PCBK010,C6S1TKBK010+HT65PCBK010,,六类非屏蔽通孔黑色水晶头 10个装 + 10个蓝黑PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490616849/0/20260505162321/ebbdeec3ef9ad7ffbf5373ae0b1b05ac.jpg,C6S1TKBK001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:23:21
C6S1TKBK010+HT65PCBK010,C6S1TKBK010+HT65PCBK010,,六类非屏蔽通孔黑色水晶头 10个装 + 10个蓝黑PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490616849/0/20260505162321/ebbdeec3ef9ad7ffbf5373ae0b1b05ac.jpg,HT65PCBK001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:23:21
C6S1TKRD010+HT65PCRD010,C6S1TKRD010+HT65PCRD010,,六类非屏蔽通孔红色水晶头 10个装 + 10个红色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490615633/0/20260505162137/7b6903f2a31e6ab9b36802c4c9162991.jpg,C6S1TKRD001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:21:21
C6S1TKRD010+HT65PCRD010,C6S1TKRD010+HT65PCRD010,,六类非屏蔽通孔红色水晶头 10个装 + 10个红色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490615633/0/20260505162137/7b6903f2a31e6ab9b36802c4c9162991.jpg,HT65PCRD001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:21:21
C6S1TKGN010+HT65PCGN010,C6S1TKGN010+HT65PCGN010,,六类非屏蔽通孔绿色水晶头 10个装 + 10个绿色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490614461/0/20260505161917/49c32f79f2d03e95e71ed76552283dcd.jpg,C6S1TKGN001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:19:17
C6S1TKGN010+HT65PCGN010,C6S1TKGN010+HT65PCGN010,,六类非屏蔽通孔绿色水晶头 10个装 + 10个绿色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490614461/0/20260505161917/49c32f79f2d03e95e71ed76552283dcd.jpg,HT65PCGN001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:19:17
C6S1TKYL010+HT65PCYL010,C6S1TKYL010+HT65PCYL010,,六类非屏蔽通孔黄色水晶头 10个装+10个装黄色6.5mm PC水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490613845/0/20260505161740/71c909d1db9e971b804b427b2d3b568e.jpg,C6S1TKYL001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:17:40
C6S1TKYL010+HT65PCYL010,C6S1TKYL010+HT65PCYL010,,六类非屏蔽通孔黄色水晶头 10个装+10个装黄色6.5mm PC水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490613845/0/20260505161740/71c909d1db9e971b804b427b2d3b568e.jpg,HT65PCYL001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 16:17:40
C6S1TKBU010+HT65PCBU010,C6S1TKBU010+HT65PCBU010,,六类非屏蔽通孔蓝色水晶头 10个装 + 10个蓝色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490596951/0/20260505161449/fc74281f140469d0162d574de65b1cca.jpg,C6S1TKBU001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 15:57:38
C6S1TKBU010+HT65PCBU010,C6S1TKBU010+HT65PCBU010,,六类非屏蔽通孔蓝色水晶头 10个装 + 10个蓝色PC 6.5mm水晶头护套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490596951/0/20260505161449/fc74281f140469d0162d574de65b1cca.jpg,HT65PCBU001,10,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 15:57:38
0993+2164,0993+2164,,RAGEER 台式机M.2 NVME转PCI-E X4转接卡 金属挡板+寒戟核 M.2固态硬盘铝合金散热器 型号：RL007,,1128549,,6933910420993,1,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-04 11:45:36
0993+2164,0993+2164,,RAGEER 台式机M.2 NVME转PCI-E X4转接卡 金属挡板+寒戟核 M.2固态硬盘铝合金散热器 型号：RL007,,1128549,,6933910422164,1,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-04 11:45:36
C6S1TK5C100,C6S1TK5C100,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 100个装 型号：C6S1TK5C100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480044073/0/20260429102147/25c15f22041e0d1ef03a9f9d258c314a.jpg,C6S1TKBU001,20,20,13,5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:58
C6S1TK5C100,C6S1TK5C100,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 100个装 型号：C6S1TK5C100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480044073/0/20260429102147/25c15f22041e0d1ef03a9f9d258c314a.jpg,C6S1TKRD001,20,20,13,5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:58
C6S1TK5C100,C6S1TK5C100,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 100个装 型号：C6S1TK5C100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480044073/0/20260429102147/25c15f22041e0d1ef03a9f9d258c314a.jpg,C6S1TKBK001,20,20,13,5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:58
C6S1TK5C100,C6S1TK5C100,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 100个装 型号：C6S1TK5C100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480044073/0/20260429102147/25c15f22041e0d1ef03a9f9d258c314a.jpg,C6S1TKYL001,20,20,13,5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:58
C6S1TK5C100,C6S1TK5C100,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 100个装 型号：C6S1TK5C100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480044073/0/20260429102147/25c15f22041e0d1ef03a9f9d258c314a.jpg,C6S1TKGN001,20,20,13,5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:58
C6S1TK5C050,C6S1TK5C050,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 50个装 型号：C6S1TK5C050,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040725/0/20260429102218/0e26ad719913533e58fa29ee02627418.jpg,C6S1TKBU001,10,20.5,11,1.5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:30
C6S1TK5C050,C6S1TK5C050,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 50个装 型号：C6S1TK5C050,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040725/0/20260429102218/0e26ad719913533e58fa29ee02627418.jpg,C6S1TKRD001,10,20.5,11,1.5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:30
C6S1TK5C050,C6S1TK5C050,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 50个装 型号：C6S1TK5C050,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040725/0/20260429102218/0e26ad719913533e58fa29ee02627418.jpg,C6S1TKBK001,10,20.5,11,1.5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:30
C6S1TK5C050,C6S1TK5C050,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 50个装 型号：C6S1TK5C050,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040725/0/20260429102218/0e26ad719913533e58fa29ee02627418.jpg,C6S1TKYL001,10,20.5,11,1.5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:30
C6S1TK5C050,C6S1TK5C050,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 50个装 型号：C6S1TK5C050,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040725/0/20260429102218/0e26ad719913533e58fa29ee02627418.jpg,C6S1TKGN001,10,20.5,11,1.5,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:30
C6S1TK5C010,C6S1TK5C010,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 10个装 型号：C6S1TK5C010,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040351/0/20260429102232/6286564e7f7d11cf764a938a9a1ce27e.jpg,C6S1TKBU001,2,20,8.5,0,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:06
C6S1TK5C010,C6S1TK5C010,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 10个装 型号：C6S1TK5C010,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040351/0/20260429102232/6286564e7f7d11cf764a938a9a1ce27e.jpg,C6S1TKRD001,2,20,8.5,0,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:06
C6S1TK5C010,C6S1TK5C010,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 10个装 型号：C6S1TK5C010,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040351/0/20260429102232/6286564e7f7d11cf764a938a9a1ce27e.jpg,C6S1TKBK001,2,20,8.5,0,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:06
C6S1TK5C010,C6S1TK5C010,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 10个装 型号：C6S1TK5C010,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040351/0/20260429102232/6286564e7f7d11cf764a938a9a1ce27e.jpg,C6S1TKYL001,2,20,8.5,0,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:06
C6S1TK5C010,C6S1TK5C010,,六类非屏蔽通孔5色混合水晶头 一排1.08mm 10个装 型号：C6S1TK5C010,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744480040351/0/20260429102232/6286564e7f7d11cf764a938a9a1ce27e.jpg,C6S1TKGN001,2,20,8.5,0,,,,,0,0,0,,,,售卖品,2026-04-22 17:12:06
HT65PCRD050,HT65PCRD050,,6.5MM PC水晶头护套  红色  50个装 型号： HT65PCRD050,,1128549,,HT65PCRD001,50,0,0,0,,,,,0,0,0,,,,售卖品,2026-04-22 17:09:50
